iter, curl_err, torque_err
266,0.014037,0.01894
267,0.008807,0.007494
268,0.014418,0.000474
269,0.020084,0.054481
270,0.014814,0.012421
271,0.014882,0.028046
272,0.011134,0.025581
273,0.015506,0.014856
274,0.012271,0.00845
275,0.012987,0.045506
276,0.024578,0.006633
277,0.016024,0.008406
278,0.012664,0.009365
279,0.02232,0.006169
280,0.022957,0.033597
281,0.011206,0.007818
282,0.011502,0.046203
283,0.012801,0.009663
284,0.024148,0.007101
285,0.013798,0.002812
286,0.017593,0.002042
287,0.015306,0.026743
288,0.014122,0.018014
289,0.011403,0.004937
290,0.014603,0.002887
291,0.012244,0.001374
292,0.032378,0.036716
293,0.015013,0.017038
294,0.031752,0.01811
295,0.012503,0.00426
296,0.011613,0.019672
297,0.013601,0.006063
298,0.036826,0.018226
299,0.019618,0.013435
300,0.015792,0.0023
301,0.010204,0.030535
302,0.011358,0.00544
303,0.014974,0.003098
304,0.011363,0.007974
305,0.021906,0.050851
306,0.013397,0.034736
307,0.013538,0.012867
308,0.011038,0.003824
309,0.022768,0.000642
310,0.011583,0.016506
311,0.012299,0.019954
312,0.014939,0.008368
313,0.0141,0.010462
314,0.011838,0.018522
315,0.01327,0.008669
316,0.015937,0.009312
317,0.012923,0.012479
318,0.017712,0.022403
319,0.013309,0.006332
320,0.015473,0.045524
321,0.023867,0.023445
322,0.010419,0.033468
323,0.036811,0.001272
324,0.012896,0.000086
325,0.028007,0.019873
326,0.014237,0.007235
327,0.014119,0.008089
328,0.018915,0.014887
329,0.010337,0.022642
330,0.012142,0.002301
331,0.01099,0.009774
332,0.01768,0.040773
333,0.015597,0.000345
334,0.017788,0.051184
335,0.01564,0.023438
336,0.012725,0.018046
337,0.025314,0.016859
338,0.014457,0.001684
339,0.011554,0.021574
340,0.020244,0.037464
341,0.010255,0.046255
342,0.011874,0.00446
343,0.031247,0.002532
344,0.012889,0.037491
345,0.014263,0.028822
346,0.015142,0.011416
347,0.060491,0.032133
348,0.012737,0.006673
349,0.027269,0.015698
350,0.013638,0.032569
351,0.012319,0.015801
352,0.011457,0.010027
353,0.033342,0.013711
354,0.016797,0.015906
355,0.02779,0.02031
356,0.012635,0.05433
357,0.014183,0.012611
358,0.022085,0.007317
